País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Japón,3341 Fabricación de computadoras y equipo periférico,C,C,C,0.0,C,0.0,0.0,C,C,C,C,C,C,C,C,0.0,C,0.0,39.8
Japón,3342 Fabricación de equipo de comunicación,11.7,16.3,12.5,11.6,8.9,6.2,0.8,4.8,15.4,16.7,11.7,4.1,C,C,C,4.3,C,C,157.3
Japón,3343 Fabricación de equipo de audio y de video,163.5,128.3,210.3,457.2,299.2,142.3,211.8,110.7,36.6,87.6,68.6,69.2,56.8,144.0,57.0,60.7,64.4,3.5,"2,371.6"
Japón,3344 Fabricación de componentes electrónicos,C,C,C,11.4,C,11.1,C,28.9,64.6,73.9,45.6,34.8,23.1,28.2,35.2,32.2,24.0,C,528.0
Japón,"3345 Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",0.0,0.0,0.2,0.0,C,0.0,0.0,C,0.0,C,C,C,C,C,C,C,C,C,13.9
Japón,"335 Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",-15.5,7.5,8.1,7.4,-4.0,1.9,8.4,21.0,24.3,64.3,47.6,3.9,10.2,14.5,5.5,73.1,345.1,13.9,637.2
Japón,3352 Fabricación de aparatos eléctricos de uso doméstico,C,C,C,C,C,C,C,9.1,-5.4,-4.8,2.8,3.8,C,1.9,-1.0,3.4,3.1,2.4,26.4
Japón,3353 Fabricación de equipo de generación y distribución de energía eléctrica,C,0.0,0.0,C,C,0.0,C,C,26.6,25.6,19.2,0.0,C,0.0,5.2,-2.5,338.7,C,383.8
Japón,3359 Fabricación de otros equipos y accesorios eléctricos,12.9,5.2,4.8,18.0,3.9,3.1,6.6,2.9,3.1,43.5,25.6,0.1,7.7,12.6,1.3,72.2,3.3,0.2,227.0
Japón,336 Fabricación de equipo de transporte,103.2,174.3,402.3,52.8,376.5,472.6,"1,283.5",608.4,"1,770.2","1,301.8",955.3,"1,787.3","1,591.1",778.4,841.5,610.0,"1,423.4",268.6,"14,801.1"
Japón,3361 Fabricación de automóviles y camiones,-64.1,-155.7,228.4,16.4,252.3,352.9,732.0,-250.9,"1,022.3",766.4,382.6,"1,156.8",806.4,363.0,699.5,230.8,"1,195.1",269.8,"8,004.0"
Japón,3363 Fabricación de partes para vehículos automotores,167.3,330.0,173.9,36.4,124.3,119.7,551.5,859.4,747.9,531.0,572.7,630.5,779.0,402.5,142.5,379.1,228.3,-1.1,"6,774.7"
Japón,3364 Fabricación de equipo aeroespacial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3369 Fabricación de otro equipo de transporte,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,18.2
Japón,"337 Fabricación de muebles, colchones y persianas",0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Japón,"3371 Fabricación de muebles, excepto de oficina y estantería",0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Japón,339 Otras industrias manufactureras,-14.4,-17.9,-15.4,-17.4,-21.5,-18.6,-23.5,-13.2,5.6,11.4,5.6,5.9,14.7,8.6,C,C,-3.6,0.0,-95.2
Japón,"3391 Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3399 Otras industrias manufactureras,-14.4,-17.9,-15.4,-17.4,-21.5,-18.6,-23.5,-13.2,5.6,11.4,5.6,5.9,14.7,8.6,C,C,-3.6,0.0,-95.2
