País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Canadá,3339 Fabricación de otra maquinaria y equipo para la industria en general,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,"334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",C,C,C,7.1,12.5,17.5,14.0,21.3,C,5.5,13.9,6.8,C,C,0.7,8.9,62.9,C,241.7
Canadá,3341 Fabricación de computadoras y equipo periférico,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,0.0,0.0,-5.4
Canadá,3342 Fabricación de equipo de comunicación,C,C,0.0,C,C,9.4,5.1,C,C,C,C,C,C,C,C,C,C,C,110.9
Canadá,3343 Fabricación de equipo de audio y de video,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Canadá,3344 Fabricación de componentes electrónicos,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Canadá,"3345 Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C,0.0,C,0.0,1.2
Canadá,3346 Fabricación y reproducción de medios magnéticos y ópticos,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,"335 Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",3.7,1.5,2.4,2.9,2.9,2.0,4.5,3.9,2.8,C,C,C,C,C,C,C,C,C,31.1
Canadá,3351 Fabricación de accesorios de iluminación,C,0.0,0.0,C,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Canadá,3352 Fabricación de aparatos eléctricos de uso doméstico,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,3353 Fabricación de equipo de generación y distribución de energía eléctrica,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,17.3
Canadá,3359 Fabricación de otros equipos y accesorios eléctricos,C,C,0.4,0.8,2.1,1.6,0.7,0.7,1.3,C,0.0,0.0,0.0,0.0,C,0.0,0.0,C,12.8
Canadá,336 Fabricación de equipo de transporte,95.3,42.8,405.3,440.6,369.2,324.6,91.9,159.5,203.9,162.0,172.0,225.9,376.1,181.8,132.8,200.5,-161.4,-4.8,"3,418.1"
Canadá,3361 Fabricación de automóviles y camiones,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0
Canadá,3362 Fabricación de carrocerías y remolques,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C
Canadá,3363 Fabricación de partes para vehículos automotores,95.3,42.8,175.9,233.2,122.3,251.9,63.1,62.0,209.6,162.6,171.4,228.8,384.9,180.9,132.8,189.9,-161.4,-4.8,"2,541.3"
Canadá,3364 Fabricación de equipo aeroespacial,0.0,0.0,0.0,0.0,C,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,C,0.0,0.0,10.5
Canadá,3365 Fabricación de equipo ferroviario,0.0,C,C,205.8,C,C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,863.2
Canadá,3366 Fabricación de embarcaciones,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
Canadá,"337 Fabricación de muebles, colchones y persianas",C,C,C,C,-2.0,C,C,1.8,C,C,8.6,C,C,-5.5,C,C,C,C,-12.2
Canadá,"3371 Fabricación de muebles, excepto de oficina y estantería",C,C,C,C,-2.0,C,C,1.8,C,C,C,C,C,-5.5,C,C,C,C,-12.2
Canadá,3372 Fabricación de muebles de oficina y estantería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,339 Otras industrias manufactureras,1.4,31.9,-33.8,0.9,9.6,12.8,4.5,1.9,5.5,0.9,C,5.0,1.6,6.7,29.3,-40.6,36.8,C,88.7
Canadá,"3391 Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",0.0,C,C,C,C,12.2,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,96.9
Canadá,3399 Otras industrias manufactureras,1.4,0.8,-67.0,3.2,C,0.6,-0.3,2.3,5.5,0.9,C,5.0,1.6,6.7,C,C,11.0,C,-8.1
