"País de Origen/Sector, subsector y rama",,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Alemania,3369 Fabricación de otro equipo de transporte,0.0,0.0,C,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Alemania,"337 Fabricación de muebles, colchones y persianas",0.0,0.0,C,C,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,"3371 Fabricación de muebles, excepto de oficina y estantería",0.0,0.0,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3372 Fabricación de muebles de oficina y estantería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,339 Otras industrias manufactureras,17.0,5.0,13.0,23.1,22.2,108.5,3.9,5.1,14.9,7.9,C,46.3,46.5,23.0,42.2,13.0,84.3,54.3,536.1
Alemania,"3391 Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",C,C,C,C,C,5.1,C,C,C,C,C,8.7,C,C,C,C,C,C,156.0
Alemania,3399 Otras industrias manufactureras,14.5,0.4,-0.6,8.1,12.0,103.4,-1.4,2.5,3.9,4.4,0.0,37.6,34.1,8.2,26.8,5.4,71.3,C,380.1
Alemania,43 Comercio al por mayor,58.7,41.3,31.6,-7.6,14.9,323.4,275.0,82.4,69.2,-46.6,80.2,98.1,170.0,116.2,31.2,35.9,42.1,10.3,"1,426.1"
Alemania,"431 Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco",0.0,4.9,C,0.0,0.0,C,C,C,0.0,C,C,C,C,C,0.0,0.0,0.0,0.0,5.6
Alemania,4311 Comercio al por mayor de abarrotes y alimentos,C,C,C,C,C,C,C,C,0.0,C,C,C,C,C,0.0,0.0,0.0,0.0,5.6
Alemania,"4312 Comercio al por mayor de bebidas, hielo y tabaco",C,C,0.0,C,C,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemania,432 Comercio al por mayor de productos textiles y calzado,C,C,C,2.8,C,314.9,195.6,C,C,C,C,C,66.0,11.9,0.6,C,C,C,645.9
Alemania,4321 Comercio al por mayor de productos textiles y calzado,C,C,C,2.8,C,314.9,195.6,C,C,C,C,C,66.0,11.9,0.6,C,C,C,645.9
Alemania,"433 Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca",0.6,0.2,9.0,-6.6,-8.4,8.6,59.7,61.6,81.6,-92.2,74.2,-4.7,50.0,100.0,1.0,25.7,7.9,C,369.8
Alemania,4331 Comercio al por mayor de productos farmacéuticos,0.0,C,8.9,C,-8.4,4.0,58.5,C,C,-94.0,71.4,-4.7,50.0,100.0,1.0,25.7,7.9,C,337.4
Alemania,"4332 Comercio al por mayor de artículos de perfumería, cosméticos y joyería",0.6,C,C,1.7,C,0.0,C,9.3,C,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,15.7
Alemania,"4333 Comercio al por mayor de discos, juguetes y artículos deportivos",0.0,0.0,C,0.0,C,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Alemania,"4334 Comercio al por mayor de artículos de papelería, libros, revistas y periódicos",0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,4335 Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
Alemania,"434 Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",41.8,32.8,5.9,0.7,4.3,5.2,9.2,12.1,-10.1,20.8,6.8,59.7,50.5,2.8,-8.2,19.5,0.0,0.0,253.8
Alemania,4341 Comercio al por mayor de materias primas agropecuarias y forestales,C,C,C,C,C,0.1,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,-1.9
Alemania,4342 Comercio al por mayor de materias primas para la industria,44.2,32.8,5.8,0.6,4.2,5.1,9.2,12.1,-10.1,20.8,6.8,59.7,50.5,2.8,-8.2,19.5,0.0,0.0,255.6
