País de Origen,Entidad federativa,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Nueva Zelandia,Oaxaca,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.3
Nueva Zelandia,Puebla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Querétaro,0.0,0.0,0.1,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Nueva Zelandia,Quintana Roo,C,0.0,C,0.0,0.0,0.0,0.0,C,0.0,C,0.0,C,C,0.0,C,0.1,1.5,0.0,1.8
Nueva Zelandia,Sinaloa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Sonora,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nueva Zelandia,Tabasco,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Tamaulipas,C,C,C,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C
Nueva Zelandia,Veracruz de Ignacio de la Llave,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Yucatán,0.0,0.0,0.0,0.0,C,0.0,0.1,C,0.0,0.0,0.0,0.0,0.3,C,0.0,C,C,0.0,1.0
Otros países,Aguascalientes,2.0,3.3,2.7,3.8,2.1,7.7,2.7,-3.8,5.0,3.4,14.6,1.1,C,C,10.2,C,-0.7,0.2,62.2
